City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Paredon,MX,2022-12-19 20:31:10,16.0333,-93.8667,84.85,62,57,7.78
122,San Patricio,US,2022-12-19 20:31:10,28.017,-97.5169,53.47,88,100,12.73
123,Abu Dhabi,AE,2022-12-19 20:31:11,24.4667,54.3667,71.96,72,0,0.0
124,Limoux,FR,2022-12-19 20:31:11,42.9167,2.1667,51.1,93,100,4.94
125,Lar,IN,2022-12-19 20:31:12,26.2039,83.9717,57.29,52,10,5.77
126,Fort Nelson,CA,2022-12-19 20:30:56,58.8053,-122.7002,-33.21,68,0,0.0
127,Faanui,PF,2022-12-19 20:31:12,-16.4833,-151.75,79.66,74,100,12.37
128,Hermanus,ZA,2022-12-19 20:31:13,-34.4187,19.2345,58.8,74,100,6.76
129,Yenagoa,NG,2022-12-19 20:31:13,4.9247,6.2642,79.52,84,20,5.48
130,Viedma,AR,2022-12-19 20:31:14,-40.8135,-62.9967,83.16,30,72,25.3
131,Tautira,PF,2022-12-19 20:31:14,-17.7333,-149.15,78.84,77,99,10.38
132,Severo-Kurilsk,RU,2022-12-19 20:31:15,50.6789,156.125,28.8,91,98,34.02
133,Road Town,VG,2022-12-19 20:29:34,18.4167,-64.6167,82.49,74,20,5.75
134,Bethanien,NA,2022-12-19 20:31:15,-26.502,17.1583,70.56,37,0,9.46
135,Lavrentiya,RU,2022-12-19 20:31:16,65.5833,-171.0,14.67,78,67,5.86
136,Tres Arroyos,AR,2022-12-19 20:32:16,-38.3739,-60.2798,88.45,20,29,20.83
137,Singkawang,ID,2022-12-19 20:32:17,0.9,109.0,74.98,93,72,3.24
138,Barrow,US,2022-12-19 20:32:17,71.2906,-156.7887,5.02,85,100,6.91
139,Saint-Joseph,RE,2022-12-19 20:32:18,-21.3667,55.6167,77.38,78,49,9.57
140,Antofagasta,CL,2022-12-19 20:32:18,-23.65,-70.4,72.68,70,7,9.44
141,Manakara,MG,2022-12-19 20:32:18,-22.1333,48.0167,77.0,87,97,9.31
142,Barinitas,VE,2022-12-19 20:32:19,8.7622,-70.4111,85.48,58,100,2.93
143,Lodingen,NO,2022-12-19 20:32:19,68.414,15.9951,24.94,89,67,6.42
144,Suntar,RU,2022-12-19 20:32:20,62.1444,117.6319,-21.46,97,100,5.03
145,Hasaki,JP,2022-12-19 20:28:55,35.7333,140.8333,27.0,45,0,13.62
146,Aklavik,CA,2022-12-19 20:32:20,68.2191,-135.0107,-31.0,75,20,3.44
147,Shubarshi,KZ,2022-12-19 20:32:21,48.5872,57.1869,29.25,84,100,7.63
148,Vila Velha,BR,2022-12-19 20:30:54,-20.3297,-40.2925,73.35,98,100,2.3
149,Xichang,CN,2022-12-19 20:32:22,27.8964,102.2634,38.48,88,0,1.14
150,Ishinomaki,JP,2022-12-19 20:32:22,38.4167,141.3,31.57,81,31,7.56
